2,Supercars Chevrolet Camaro Gen3,adelaide
Steering Wheel Angle,Yaw Rate
-229.984344,1.290440
-231.000626,1.297569
-231.989487,1.303999
-233.005737,1.310659
-233.994614,1.317475
-234.983490,1.323440
-235.999741,1.330535
-236.988617,1.336761
-238.004898,1.343951
-238.993744,1.350181
-239.982620,1.356716
-240.998901,1.363691
-241.987823,1.369964
-243.004013,1.377054
-243.992950,1.383326
-244.981827,1.390084
-245.998077,1.396778
-246.986954,1.403397
-248.003220,1.409963
-248.992081,1.417019
-249.980896,1.423298
-250.997223,1.430179
-251.986099,1.436885
-253.002350,1.443260
-253.991226,1.450355
-254.980042,1.456520
-255.996399,1.463689
-256.985291,1.469855
-258.001556,1.477125
-258.990417,1.483404
-260.006683,1.490478
-260.995544,1.497093
-261.984344,1.503660
-263.000671,1.510715
-263.989624,1.516971
-265.005829,1.524224
-265.994751,1.530470
-266.983490,1.537469
-267.999878,1.543996
-268.988739,1.551037
-270.005005,1.557384
-270.993896,1.564525
-271.982666,1.571156
-272.999054,1.577822
-273.987946,1.584200
-275.004181,1.591629
-275.993073,1.598229
-276.981873,1.604772
-277.998230,1.611918
-278.987000,1.618064
